type,groupName,name,description,dataType,filename,samplingPeriodS
signal,Kinematics,vehiclePositionX,Vehicle position - Lateral - meters,number,,
signal,Kinematics,vehiclePositionY,Vehicle position - Longitudinal - meters,number,,
signal,Kinematics,vehiclePositionZ,Vehicle position - Vertical - meters,number,,
signal,Kinematics,vehicleVelocityX,Vehicle velocity - Lateral - m/s,number,,
signal,Kinematics,vehicleVelocityY,Vehicle velocity - Longitudinal - m/s,number,,
signal,Kinematics,vehicleVelocityZ,Vehicle velocity - Vertical - m/s,number,,
signal,Kinematics,vehicleAccelerationX,Vehicle acceleration - Lateral - ms^-2,number,,
signal,Kinematics,vehicleAccelerationY,Vehicle acceleration - Longitudinal - ms^-2,number,,
signal,Kinematics,vehicleAccelerationZ,Vehicle acceleration - Vertical - ms^-2,number,,
signal,Kinematics,vehicleRoll,Roll angle - rad,number,,
signal,Kinematics,vehiclePitch,Pitch angle - rad,number,,
signal,Kinematics,vehicleYaw,Yaw angle - rad,number,,
signal,Kinematics,vehicleGroundSpeed,Ground speed - m/s,number,,
signal,Kinematics,vehicleAltitude,Altitude - meters,number,,
signal,Driver,throttleInput,Throttle input,number,,
signal,Driver,brakeInput,Brake input,number,,
signal,Driver,clutchInput,Clutch input,number,,
signal,Driver,parkingBrakeInput,Parking brake input,number,,
signal,Driver,steeringWheelPositionInput,Steering wheel position input,number,,
signal,Wheels,wheelSpeedFL,FL wheel speed - m/s,number,,
signal,Wheels,wheelSpeedFR,FR wheel speed - m/s,number,,
signal,Wheels,wheelSpeedRL,RL wheel speed - m/s,number,,
signal,Wheels,wheelSpeedRR,RR wheel speed - m/s,number,,
signal,Electrics,throttle,Throttle,number,,
signal,Electrics,brake,Brake,number,,
signal,Electrics,steering,Steering,number,,
signal,Electrics,rpm,Engine RPM,number,,
signal,Electrics,wheelspeed,Wheel speed,number,,
signal,Electrics,gearIndex,Gear index,number,,
signal,Electrics,fuel,Fuel level,number,,
signal,Electrics,oiltemp,Oil temperature,number,,
signal,Electrics,watertemp,Water temperature,number,,
signal,Powertrain,mainEngine outputAV1,Main engine output angular velocity,number,,
signal,Powertrain,mainEngine outputTorque1,Main engine output torque,number,,
signal,Powertrain,gearbox gearRatio,Gearbox gear ratio,number,,
signal,Powertrain,gearbox outputAV1,Gearbox output angular velocity,number,,
signal,IMU 1,imuPositionX,IMU position - Lateral - meters,number,,
signal,IMU 1,imuPositionY,IMU position - Longitudinal - meters,number,,
signal,IMU 1,imuPositionZ,IMU position - Vertical - meters,number,,
signal,IMU 1,imuAccelerationSmoothedAxis1,IMU smoothed acceleration axis 1,number,,
signal,IMU 1,imuAccelerationSmoothedAxis2,IMU smoothed acceleration axis 2,number,,
signal,IMU 1,imuAccelerationSmoothedAxis3,IMU smoothed acceleration axis 3,number,,
signal,GPS 1,gpsXCoordinate,GPS X coordinate,number,,
signal,GPS 1,gpsYCoordinate,GPS Y coordinate,number,,
signal,GPS 1,gpsLongitude,GPS longitude,number,,
signal,GPS 1,gpsLatitude,GPS latitude,number,,
signal,Ideal RADAR,idealRADARVehicle1Distance,Ideal RADAR vehicle 1 distance,number,,
signal,Ideal RADAR,idealRADARVehicle1RelativeDistanceX,Ideal RADAR vehicle 1 relative distance X,number,,
signal,Ideal RADAR,idealRADARVehicle1RelativeDistanceY,Ideal RADAR vehicle 1 relative distance Y,number,,
signal,Roads Sensor,roadsRoadHalfWidth,Road half width,number,,
signal,Roads Sensor,roadsDistanceToCenterline,Distance to road centerline,number,,
signal,Roads Sensor,roadsSpeedLimit,Road speed limit,number,,
settings,,filename,log/vehicle_logging_demo.csv,string,,
settings,,samplingPeriodS,0.025,number,,
settings,,samplingUnit,s,string,,
